year,region_id,voltage_kv,path_id,status,reason,installed_capacity_mva,reported_capacity_mva,storage_modules,storage_power_mw,p_plus_mw,p_minus_mw,clr,positive_capacity_gap_mw,reverse_hosting_gap_mw,annual_capex_wanyuan,annual_in_service_eac_wanyuan,cumulative_capex_wanyuan,cumulative_in_service_eac_wanyuan,complete_path_status,complete_path_reason,baseline_capacity_mva,physical_clr,policy_control_capacity_mva,policy_control_ratio
2023,QX-00008,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,1382.0,1382.0,0.0,0.0,660.560758,0.0,2.092161823515408,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,1382.0,2.092161823515408,1382.0,2.092161823515408
2024,QX-00008,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,1382.0,1382.0,0.0,0.0,689.65649,0.0,2.0038961715563643,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,1382.0,2.0038961715563643,1382.0,2.0038961715563643
2025,QX-00008,110,PATH_OPT_CLR_UNBOUNDED,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,,,,,,,,,,,,,,infeasible,no_complete_2022_2025_feasible_path,1382.0,,,
2022,QX-00009,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,310.3,310.3,0.0,0.0,87.769699,0.0,3.5353886766775857,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,310.3,3.5353886766775857,310.3,3.5353886766775857
2023,QX-00009,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,310.3,310.3,0.0,0.0,86.11926,0.0,3.60314289741923,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,310.3,3.60314289741923,310.3,3.60314289741923
2024,QX-00009,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,310.3,310.3,0.0,0.0,91.511376,0.0,3.3908352552801744,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,310.3,3.3908352552801744,310.3,3.3908352552801744
2025,QX-00009,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,310.3,310.3,0.0,0.0,89.0,0.0,3.4865168539325846,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,310.3,3.4865168539325846,310.3,3.4865168539325846
2022,QX-00009,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,1737.0,1737.0,0.0,0.0,724.903487,0.0,2.3961810518922224,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,1737.0,2.3961810518922224,1737.0,2.3961810518922224
2023,QX-00009,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,1737.0,1737.0,0.0,0.0,746.012246,0.0,2.3283800089254836,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,1737.0,2.3283800089254836,1737.0,2.3283800089254836
2024,QX-00009,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,1737.0,1737.0,0.0,0.0,738.347529,0.0,2.3525507051571646,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,1737.0,2.3525507051571646,1737.0,2.3525507051571646
