region_id,voltage_kv,station_id,pv_online_mw,pv_pipeline_mw,rated_capacity_context_mva,snapshot_min,snapshot_max,source_rows,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00003,110,BDZ-00007,63.146,5.0149,100,2026-04-07 12:30:00,2026-05-21 12:15:00,89;90,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,110,BDZ-00010,24.3109,3.2993,100,2026-04-29 12:45:00,2026-04-29 12:45:00,111;112,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,110,BDZ-00012,32.3838,0,126,2026-04-24 12:30:00,2026-05-29 12:45:00,97;98,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,110,BDZ-00013,14.9749,3.9824,113,2026-04-14 12:30:00,2026-05-09 12:45:00,101;102,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,110,BDZ-00017,27.3991,1.201,100,2026-04-03 13:00:00,2026-04-23 13:00:00,103;104,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,110,BDZ-00019,40.546,2.0057,126,2026-04-30 13:00:00,2026-05-22 13:00:00,99;100,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,110,BDZ-00025,75.3838,4.019,126,2026-04-23 12:30:00,2026-05-21 12:45:00,109;110,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,110,BDZ-00060,12.6852,1.6213,70,2026-04-24 14:45:00,2026-05-09 13:00:00,83;84,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,110,BDZ-00101,39.7195,2.0397,81.5,2026-04-10 12:30:00,2026-05-21 12:30:00,81;82,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,110,BDZ-00102,10.4574,0.8,100,2026-04-30 12:30:00,2026-05-09 12:45:00,87;88,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,110,BDZ-00106,0.0907,0,100,2026-04-24 12:30:00,2026-04-30 14:15:00,93;94,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,110,BDZ-00137,37.8268,3.347,100,2026-04-14 12:15:00,2026-04-24 13:00:00,105;106,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,110,BDZ-00153,57.593,10.841,100,2026-05-15 12:00:00,2026-05-28 12:15:00,107;108,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,110,BDZ-00158,11.216,0.367,100,2026-04-15 12:30:00,2026-05-19 14:45:00,91;92,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,110,BDZ-00183,6.2428,1.833,100,2026-03-27 12:45:00,2026-04-14 13:30:00,85;86,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00004,35,BDZ-00145,47.7243,1.2695,46,2026-03-01 00:00:00,2026-05-21 12:15:00,456;457;458;459,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00004,35,BDZ-00250,4.0998,0.1334,40,2026-04-10 13:15:00,2026-05-08 13:30:00,462;463,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00004,35,BDZ-00262,40.141,0.5478,40,2026-03-01 00:00:00,2026-03-27 12:45:00,450;451,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
