year,region_id,voltage_kv,path_id,status,reason,complete_path_status,complete_path_reason,installed_capacity_mva,storage_modules,storage_power_mw,p_plus_mw,p_minus_mw,clr,positive_capacity_gap_mw,reverse_hosting_gap_mw,annual_capex_wanyuan,annual_in_service_eac_wanyuan,cumulative_capex_wanyuan,cumulative_in_service_eac_wanyuan,reported_capacity_mva
2022,QX-00004,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,1885.5,0,0,627.197268,0,3.006231207,0.0,0.0,0.0,0.0,0.0,0.0,1885.5
2023,QX-00004,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,1885.5,0,0,647.04862,0,2.914000497,0.0,0.0,0.0,0.0,0.0,0.0,1885.5
2024,QX-00004,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,1885.5,0,0,633.321947,0,2.977158788,0.0,0.0,0.0,0.0,0.0,0.0,1885.5
2025,QX-00004,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,1885.5,124,12.4,634.28,0,2.972661916,0.0,0.0,2613.760544,433.53912471027945,2613.760544,433.53912471027945,1885.5
2022,QX-00005,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,245,0,0,124.717665,0,1.964437035,0.0,0.0,0.0,0.0,0.0,0.0,245
2023,QX-00005,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,245,0,0,86.7,0,2.825836217,0.0,0.0,0.0,0.0,0.0,0.0,245
2024,QX-00005,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,245,0,0,128.361542,0,1.908671368,0.0,0.0,0.0,0.0,0.0,0.0,245
2025,QX-00005,35,PATH_OPT_CLR_UNBOUNDED,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,infeasible,no_complete_2022_2025_feasible_path,,,,,,,,,,,,,
2022,QX-00005,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,2027,0,0,825.004193,0,2.45695721,0.0,0.0,0.0,0.0,0.0,0.0,2027
2023,QX-00005,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,2027,0,0,761.231803,0,2.662789432,0.0,0.0,0.0,0.0,0.0,0.0,2027
2024,QX-00005,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,2027,0,0,862.661537,0,2.349704853,0.0,0.0,0.0,0.0,0.0,0.0,2027
2025,QX-00005,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,2077,465,46.5,956.45,375.6034408,2.171571959,0.0,0.0,11132.635252,1745.5282990715316,11132.635252,1745.5282990715316,2077
2022,QX-00007,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,56,0,0,11.017072,0,5.083020243,0.0,0.0,0.0,0.0,0.0,0.0,56
2023,QX-00007,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,56,0,0,14.05,0,3.985765125,0.0,0.0,0.0,0.0,0.0,0.0,56
2024,QX-00007,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,56,0,0,13.057754,0,4.288639532,0.0,0.0,0.0,0.0,0.0,0.0,56
2025,QX-00007,35,PATH_OPT_CLR_UNBOUNDED,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,infeasible,no_complete_2022_2025_feasible_path,,,,,,,,,,,,,
2022,QX-00007,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,3113.5,0,0,1432.369977,0,2.173670246,0.0,0.0,0.0,0.0,0.0,0.0,3113.5
2023,QX-00007,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,3113.5,0,0,1542.216749,0,2.018847222,0.0,0.0,0.0,0.0,0.0,0.0,3113.5
2024,QX-00007,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,3113.5,0,0,1449.401567,0,2.148127938,0.0,0.0,0.0,0.0,0.0,0.0,3113.5
2025,QX-00007,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,3163.5,0,0,1528.82,0,2.069242946,0.0,0.0,1343.0,121.7414881,1343.0,121.7414881,3163.5
2022,QX-00008,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,185.6,0,0,107.396041,0,1.728182885,0.0,0.0,0.0,0.0,0.0,0.0,185.6
2023,QX-00008,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,185.6,0,0,58.020619,0,3.198862804,0.0,0.0,0.0,0.0,0.0,0.0,185.6
2024,QX-00008,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,185.6,0,0,81.637692,0,2.273459666,0.0,0.0,0.0,0.0,0.0,0.0,185.6
2025,QX-00008,35,PATH_OPT_CLR_UNBOUNDED,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,infeasible,no_complete_2022_2025_feasible_path,,,,,,,,,,,,,
