time,P,G_i,T2m,WS10m
20050114:1730,0.0,,-6.97,1.45
20050114:1830,0.0,,-7.28,1.38
20050114:1930,0.0,,-7.56,1.38
20050114:2030,0.0,,-7.99,1.45
20050114:2130,0.0,,-8.27,1.52
20050114:2230,0.0,,-8.39,1.66
20050114:2330,2.25,,-8.47,1.66
20050115:0030,286.88,,-8.12,1.45
20050115:0130,513.21,,-4.41,1.03
20050115:0230,673.84,,-1.53,2.07
20050115:0330,767.5,,-0.08,2.76
20050115:0430,788.3,,0.88,2.97
20050115:0530,743.11,,1.6,3.31
20050115:0630,627.82,,1.96,3.59
20050115:0730,440.49,,1.82,3.79
20050115:0830,194.54,,1.29,3.38
20050115:0930,0.0,,-0.35,2.21
20050115:1030,0.0,,-2.08,2.0
20050115:1130,0.0,,-3.82,1.72
20050115:1230,0.0,,-4.75,1.52
20050115:1330,0.0,,-4.88,1.38
20050115:1430,0.0,,-4.97,1.31
20050115:1530,0.0,,-5.25,1.38
20050115:1630,0.0,,-5.56,1.38
20050115:1730,0.0,,-5.57,1.31
20050115:1830,0.0,,-5.67,1.17
20050115:1930,0.0,,-6.24,1.24
20050115:2030,0.0,,-6.73,1.24
20050115:2130,0.0,,-7.17,1.24
20050115:2230,0.0,,-7.55,1.31
20050115:2330,2.29,,-7.64,1.17
20050116:0030,290.65,,-7.25,0.97
20050116:0130,513.57,,-4.09,0.28
20050116:0230,659.54,,-0.97,0.28
20050116:0330,743.82,,0.64,0.62
20050116:0430,768.18,,1.82,1.17
20050116:0530,726.38,,2.64,1.52
20050116:0630,616.79,,3.12,1.52
20050116:0730,437.37,,3.28,1.59
20050116:0830,197.52,,2.85,1.24
20050116:0930,0.0,,1.81,0.69
20050116:1030,0.0,,0.59,0.76
20050116:1130,0.0,,-0.42,0.97
20050116:1230,0.0,,-1.43,1.1
20050116:1330,0.0,,-2.82,1.31
20050116:1430,0.0,,-3.84,1.52
20050116:1530,0.0,,-4.17,1.66
20050116:1630,0.0,,-4.46,1.72
20050116:1730,0.0,,-4.7,1.72
20050116:1830,0.0,,-4.63,1.72
20050116:1930,0.0,,-4.83,1.66
20050116:2030,0.0,,-4.96,1.59
20050116:2130,0.0,,-5.35,1.72
20050116:2230,0.0,,-5.71,1.86
20050116:2330,2.23,,-5.84,1.93
20050117:0030,271.95,,-5.39,1.86
20050117:0130,486.28,,-1.19,1.86
20050117:0230,633.47,,1.37,3.03
20050117:0330,648.19,,3.13,3.79
20050117:0430,705.52,,4.31,3.93
20050117:0530,639.58,,5.32,3.93
20050117:0630,597.43,,5.66,3.72
20050117:0730,409.84,,5.65,3.24
20050117:0830,184.84,,4.97,2.34
20050117:0930,0.0,,3.33,1.66
20050117:1030,0.0,,0.87,1.24
20050117:1130,0.0,,0.16,1.24
20050117:1230,0.0,,-2.24,1.72
20050117:1330,0.0,,-3.8,1.93
20050117:1430,0.0,,-4.67,2.07
20050117:1530,0.0,,-5.08,2.07
20050117:1630,0.0,,-5.26,2.07
20050117:1730,0.0,,-5.42,2.07
20050117:1830,0.0,,-5.72,2.0
20050117:1930,0.0,,-5.59,2.28
20050117:2030,0.0,,-5.79,2.21
20050117:2130,0.0,,-6.02,2.14
20050117:2230,0.0,,-6.26,2.14
20050117:2330,2.72,,-6.5,2.07
20050118:0030,270.43,,-6.21,1.86
20050118:0130,514.42,,-2.36,2.28
20050118:0230,676.48,,-0.34,3.17
20050118:0330,772.21,,1.17,3.66
20050118:0430,796.32,,2.23,4.07
20050118:0530,751.32,,2.78,4.21
20050118:0630,637.21,,2.93,4.0
20050118:0730,450.46,,2.83,3.45
20050118:0830,205.75,,2.19,2.83
20050118:0930,0.0,,0.66,1.79
20050118:1030,0.0,,-1.43,1.52
20050118:1130,0.0,,-2.61,1.24
20050118:1230,0.0,,-2.65,1.17
20050118:1330,0.0,,-2.7,1.1
20050118:1430,0.0,,-2.67,0.9
20050118:1530,0.0,,-2.92,0.69
20050118:1630,0.0,,-3.09,0.41
20050118:1730,0.0,,-3.17,0.41
20050118:1830,0.0,,-3.17,0.48
20050118:1930,0.0,,-3.41,0.41
20050118:2030,0.0,,-3.52,0.34
20050118:2130,0.0,,-3.62,0.14
20050118:2230,0.0,,-3.75,0.14
20050118:2330,2.54,,-3.86,0.21
20050119:0030,285.0,,-3.9,0.34
20050119:0130,508.2,,-2.15,0.28
20050119:0230,661.16,,1.31,1.1
20050119:0330,754.5,,3.06,2.21
20050119:0430,781.55,,4.06,3.1
20050119:0530,739.95,,4.64,3.79
20050119:0630,627.53,,4.85,4.0
20050119:0730,439.13,,4.36,3.79
20050119:0830,201.5,,3.77,3.1
20050119:0930,0.0,,1.98,2.07
20050119:1030,0.0,,-0.06,1.86
20050119:1130,0.0,,-2.06,1.66
20050119:1230,0.0,,-2.4,1.45
20050119:1330,0.0,,-2.82,1.45
20050119:1430,0.0,,-3.15,1.38
20050119:1530,0.0,,-3.58,1.38
20050119:1630,0.0,,-3.93,1.31
20050119:1730,0.0,,-3.82,1.17
20050119:1830,0.0,,-3.61,0.9
20050119:1930,0.0,,-4.5,1.03
20050119:2030,0.0,,-4.69,0.97
20050119:2130,0.0,,-4.92,0.97
20050119:2230,0.0,,-4.83,0.83
20050119:2330,2.69,,-4.84,0.76
20050120:0030,286.15,,-4.93,0.76
20050120:0130,507.43,,-2.14,0.34
20050120:0230,651.25,,1.37,0.34
20050120:0330,741.15,,3.01,1.1
20050120:0430,768.3,,3.84,1.72
20050120:0530,730.57,,4.29,2.14
20050120:0630,596.2,,4.44,2.28
20050120:0730,382.13,,3.76,2.41
20050120:0830,185.82,,3.06,2.28
20050120:0930,0.0,,1.47,2.0
20050120:1030,0.0,,-0.67,2.07
