time,P,G_i,T2m,WS10m
20050118:2330,3.37,,-5.79,1.86
20050119:0030,295.23,,-5.2,1.45
20050119:0130,517.73,,-0.78,1.24
20050119:0230,667.86,,2.18,1.38
20050119:0330,750.89,,4.27,1.59
20050119:0430,763.82,,5.36,1.17
20050119:0530,718.37,,5.96,0.9
20050119:0630,614.53,,6.36,0.69
20050119:0730,445.85,,6.14,0.34
20050119:0830,218.09,,5.9,0.41
20050119:0930,0.0,,5.34,0.21
20050119:1030,0.0,,4.68,0.14
20050119:1130,0.0,,3.8,0.28
20050119:1230,0.0,,2.88,0.34
20050119:1330,0.0,,2.06,0.48
20050119:1430,0.0,,1.35,0.55
20050119:1530,0.0,,0.67,0.69
20050119:1630,0.0,,-0.01,0.76
20050119:1730,0.0,,-0.53,0.83
20050119:1830,0.0,,-0.94,0.83
20050119:1930,0.0,,-3.55,1.31
20050119:2030,0.0,,-4.24,1.52
20050119:2130,0.0,,-4.76,1.72
20050119:2230,0.0,,-4.98,1.86
20050119:2330,3.41,,-4.94,2.14
20050120:0030,286.95,,-4.25,1.93
20050120:0130,510.89,,-0.23,1.79
20050120:0230,660.94,,2.59,1.79
20050120:0330,719.68,,4.75,2.0
20050120:0430,690.72,,5.94,1.86
20050120:0530,564.27,,6.32,1.52
20050120:0630,489.43,,6.47,1.45
20050120:0730,363.68,,6.35,1.72
20050120:0830,140.29,,6.03,1.86
20050120:0930,0.0,,4.72,1.93
20050120:1030,0.0,,2.65,2.34
20050120:1130,0.0,,1.27,2.21
20050120:1230,0.0,,0.43,2.07
20050120:1330,0.0,,-0.09,2.0
20050120:1430,0.0,,-0.63,2.07
20050120:1530,0.0,,-1.29,2.14
20050120:1630,0.0,,-2.25,2.21
20050120:1730,0.0,,-3.0,2.21
20050120:1830,0.0,,-3.59,2.14
20050120:1930,0.0,,-3.81,2.28
20050120:2030,0.0,,-3.85,2.48
20050120:2130,0.0,,-3.92,2.48
20050120:2230,0.0,,-4.03,2.48
20050120:2330,3.47,,-4.15,2.48
20050121:0030,262.1,,-3.62,2.48
20050121:0130,438.95,,-1.27,2.9
20050121:0230,553.0,,1.03,3.24
20050121:0330,561.04,,2.81,3.38
20050121:0430,592.53,,3.98,3.24
20050121:0530,487.3,,4.81,3.03
20050121:0630,229.64,,5.26,2.83
20050121:0730,88.4,,4.52,2.62
20050121:0830,26.13,,4.12,2.28
20050121:0930,0.0,,3.46,1.66
20050121:1030,0.0,,2.54,1.72
20050121:1130,0.0,,1.7,1.72
20050121:1230,0.0,,1.12,1.79
20050121:1330,0.0,,0.28,1.93
20050121:1430,0.0,,-0.2,1.79
20050121:1530,0.0,,-0.59,1.66
20050121:1630,0.0,,-0.44,1.52
20050121:1730,0.0,,-0.4,1.59
20050121:1830,0.0,,-0.34,1.66
20050121:1930,0.0,,-0.23,1.86
20050121:2030,0.0,,-0.19,1.79
20050121:2130,0.0,,-0.24,1.66
20050121:2230,0.0,,-0.49,1.59
20050121:2330,0.33,,-0.51,1.59
20050122:0030,38.14,,-0.43,1.59
20050122:0130,84.44,,-0.04,2.0
20050122:0230,82.09,,0.52,2.07
20050122:0330,120.68,,0.85,2.07
20050122:0430,345.82,,1.44,2.34
20050122:0530,383.79,,2.49,2.48
20050122:0630,220.89,,3.19,2.21
20050122:0730,80.62,,4.03,1.03
20050122:0830,29.08,,3.88,0.55
