region_id,voltage_kv,station_id,capacity_mva,transformer_count,asset_scope_id,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00005,110,BDZ-00026,113,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00027,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00028,163,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00031,113,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00037,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00048,150,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00056,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00095,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00096,160,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00124,113,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
