time,P,G_i,T2m,WS10m
20050121:1530,0.0,,1.42,2.69
20050121:1630,0.0,,1.34,2.62
20050121:1730,0.0,,1.35,2.69
20050121:1830,0.0,,1.53,2.83
20050121:1930,0.0,,2.5,2.9
20050121:2030,0.0,,2.8,2.76
20050121:2130,0.0,,2.83,2.41
20050121:2230,0.0,,3.05,2.48
20050121:2330,0.42,,3.4,2.55
20050122:0030,9.88,,3.8,2.48
20050122:0130,20.81,,4.49,2.34
20050122:0230,37.43,,5.06,1.59
20050122:0330,48.6,,5.59,0.9
20050122:0430,39.31,,5.9,0.9
20050122:0530,28.08,,5.6,2.62
20050122:0630,20.84,,4.94,3.31
20050122:0730,16.49,,4.34,4.07
20050122:0830,7.86,,3.72,4.14
20050122:0930,0.0,,3.07,3.93
20050122:1030,0.0,,2.6,3.93
20050122:1130,0.0,,2.17,4.28
20050122:1230,0.0,,1.89,4.41
20050122:1330,0.0,,1.73,4.55
20050122:1430,0.0,,1.73,4.62
20050122:1530,0.0,,1.73,4.69
20050122:1630,0.0,,1.87,4.76
20050122:1730,0.0,,1.96,4.55
20050122:1830,0.0,,1.93,4.21
20050122:1930,0.0,,1.89,4.28
20050122:2030,0.0,,1.92,4.07
20050122:2130,0.0,,1.98,3.45
20050122:2230,0.0,,1.98,2.69
20050122:2330,30.8,,1.93,1.79
20050123:0030,140.77,,2.24,1.72
20050123:0130,254.41,,3.1,1.72
20050123:0230,339.52,,3.91,1.31
20050123:0330,402.16,,4.81,1.59
20050123:0430,409.14,,5.49,1.31
20050123:0530,338.73,,6.03,0.9
20050123:0630,352.53,,6.31,1.1
20050123:0730,330.66,,6.34,1.86
20050123:0830,152.75,,6.14,2.0
20050123:0930,0.0,,5.44,2.28
20050123:1030,0.0,,4.22,2.55
20050123:1130,0.0,,3.45,2.62
20050123:1230,0.0,,3.05,2.69
20050123:1330,0.0,,2.77,2.83
20050123:1430,0.0,,2.72,2.97
20050123:1530,0.0,,2.76,2.9
20050123:1630,0.0,,2.74,2.69
20050123:1730,0.0,,2.9,2.48
20050123:1830,0.0,,3.34,2.21
20050123:1930,0.0,,3.15,1.93
20050123:2030,0.0,,3.37,1.52
20050123:2130,0.0,,3.64,0.97
20050123:2230,0.0,,3.79,0.62
20050123:2330,0.47,,3.97,0.69
20050124:0030,19.04,,4.06,0.9
20050124:0130,64.63,,4.51,1.17
20050124:0230,34.76,,5.14,1.59
20050124:0330,35.25,,5.24,2.28
20050124:0430,51.49,,5.19,2.55
20050124:0530,33.55,,5.21,2.76
20050124:0630,27.96,,5.09,2.48
20050124:0730,12.86,,4.92,2.48
20050124:0830,3.9,,4.85,2.0
20050124:0930,0.0,,4.74,1.72
20050124:1030,0.0,,4.61,1.52
20050124:1130,0.0,,4.55,1.38
20050124:1230,0.0,,4.51,1.38
20050124:1330,0.0,,4.52,0.97
20050124:1430,0.0,,4.53,0.48
20050124:1530,0.0,,4.58,0.48
20050124:1630,0.0,,4.62,0.76
20050124:1730,0.0,,4.68,1.1
20050124:1830,0.0,,4.64,1.31
20050124:1930,0.0,,4.55,0.41
20050124:2030,0.0,,4.53,2.48
20050124:2130,0.0,,4.34,3.03
20050124:2230,0.0,,4.34,2.97
20050124:2330,2.18,,4.4,2.41
20050125:0030,20.48,,4.54,2.9
20050125:0130,72.59,,5.0,3.86
20050125:0230,71.47,,5.62,4.21
20050125:0330,92.92,,6.03,4.69
20050125:0430,115.19,,6.46,5.03
20050125:0530,102.44,,6.7,5.17
20050125:0630,58.95,,6.64,5.1
20050125:0730,26.91,,5.72,4.55
20050125:0830,7.08,,5.42,4.34
20050125:0930,0.0,,5.08,3.79
20050125:1030,0.0,,4.79,3.79
20050125:1130,0.0,,4.5,3.59
20050125:1230,0.0,,4.22,3.59
20050125:1330,0.0,,3.93,3.31
20050125:1430,0.0,,3.59,3.17
20050125:1530,0.0,,3.28,3.17
20050125:1630,0.0,,2.87,3.17
20050125:1730,0.0,,2.3,3.1
20050125:1830,0.0,,1.78,2.97
20050125:1930,0.0,,1.36,2.97
20050125:2030,0.0,,0.83,2.69
20050125:2130,0.0,,0.36,2.55
20050125:2230,0.0,,-0.05,2.41
20050125:2330,117.49,,-0.33,2.28
20050126:0030,354.38,,0.41,1.79
20050126:0130,559.26,,2.18,1.79
20050126:0230,673.55,,3.88,2.07
20050126:0330,509.53,,5.38,2.21
20050126:0430,291.08,,5.91,2.07
20050126:0530,124.28,,6.04,2.14
20050126:0630,33.11,,6.0,2.07
20050126:0730,28.56,,4.7,2.0
20050126:0830,5.54,,4.34,1.45
20050126:0930,0.0,,4.22,0.83
20050126:1030,0.0,,4.12,1.66
20050126:1130,0.0,,3.89,2.34
20050126:1230,0.0,,3.67,2.62
20050126:1330,0.0,,3.61,2.21
20050126:1430,0.0,,2.94,3.03
20050126:1530,0.0,,1.78,2.28
20050126:1630,0.0,,1.5,2.55
20050126:1730,0.0,,1.48,2.55
20050126:1830,0.0,,1.6,2.41
20050126:1930,0.0,,1.84,2.28
20050126:2030,0.0,,1.88,2.21
20050126:2130,0.0,,1.94,2.21
20050126:2230,0.0,,1.99,2.28
20050126:2330,0.04,,2.12,2.41
20050127:0030,17.26,,2.39,2.41
20050127:0130,21.2,,2.97,2.48
20050127:0230,47.72,,3.42,2.28
20050127:0330,67.24,,3.98,2.34
20050127:0430,46.28,,4.52,2.76
20050127:0530,58.53,,4.85,2.55
20050127:0630,17.43,,5.23,2.34
20050127:0730,18.24,,4.97,1.79
20050127:0830,5.29,,4.99,1.66
20050127:0930,0.0,,4.87,1.79
20050127:1030,0.0,,4.7,1.66
20050127:1130,0.0,,4.6,1.52
20050127:1230,0.0,,4.52,1.45
20050127:1330,0.0,,4.43,1.52
20050127:1430,0.0,,4.31,1.31
20050127:1530,0.0,,4.11,1.45
20050127:1630,0.0,,3.83,1.38
20050127:1730,0.0,,3.51,1.45
20050127:1830,0.0,,3.37,1.45
20050127:1930,0.0,,3.54,1.17
20050127:2030,0.0,,3.52,1.45
20050127:2130,0.0,,3.48,1.45
20050127:2230,0.0,,3.57,1.24
20050127:2330,17.41,,3.6,0.97
20050128:0030,66.72,,3.95,0.62
20050128:0130,186.74,,4.91,0.28
20050128:0230,280.38,,6.2,0.28
20050128:0330,246.87,,7.41,0.69
20050128:0430,173.42,,7.8,0.69
20050128:0530,158.23,,7.97,0.76
20050128:0630,90.72,,8.18,0.9
20050128:0730,111.43,,7.39,1.31
20050128:0830,21.54,,7.5,1.52
20050128:0930,0.0,,7.14,1.38
20050128:1030,0.0,,6.55,1.45
20050128:1130,0.0,,6.03,1.59
20050128:1230,0.0,,5.46,1.59
20050128:1330,0.0,,5.25,1.31
20050128:1430,0.0,,4.86,1.24
20050128:1530,0.0,,4.2,1.31
20050128:1630,0.0,,3.91,1.24
20050128:1730,0.0,,3.23,1.38
20050128:1830,0.0,,3.21,1.59
20050128:1930,0.0,,3.26,1.66
20050128:2030,0.0,,3.74,1.79
20050128:2130,0.0,,3.97,2.28
20050128:2230,0.0,,4.5,2.9
20050128:2330,16.5,,5.16,3.38
20050129:0030,52.36,,5.78,3.31
20050129:0130,191.78,,6.3,3.45
20050129:0230,244.55,,7.15,4.69
20050129:0330,239.41,,7.8,4.48
20050129:0430,165.38,,8.03,4.41
20050129:0530,145.23,,7.91,4.41
20050129:0630,127.47,,7.84,4.21
20050129:0730,79.34,,7.28,4.28
20050129:0830,24.01,,6.84,4.07
20050129:0930,0.0,,6.39,3.72
20050129:1030,0.0,,5.64,4.21
20050129:1130,0.0,,4.59,4.69
20050129:1230,0.0,,3.79,4.48
20050129:1330,0.0,,3.2,4.48
20050129:1430,0.0,,2.61,4.62
20050129:1530,0.0,,1.93,4.48
20050129:1630,0.0,,1.5,4.14
20050129:1730,0.0,,1.18,3.79
